phi,theta,xValue,yValue,zValue,u_avg_acutance,u_avg_gaussian,u_avg_local_contrast,u_avg_local_range,u_avg_salt_and_pepper,u_avg_brightness,u_avg_contrast_strech,FILE,FILE_acutance,FILE_gaussian,FILE_local_contrast,FILE_local_range,FILE_salt_and_pepper,FILE_brightness,FILE_contrast_strech
154,30,166,166,499,254.5780869,30.98458862,91.46292877,11.05924988,1.836143494,46.9238739,22.5235405,images/1144.jpg,images/1144_acutance.png,images/1144_gaussian.png,images/1144_local_contrast.png,images/1144_local_range.png,images/1144_salt_and_pepper.png,images/1144_brightness.png,images/1144_contrast_strech.png
154,30,166,499,499,254.5614624,28.48080444,95.35211563,11.21058655,1.779579163,46.89351273,21.96584702,images/1145.jpg,images/1145_acutance.png,images/1145_gaussian.png,images/1145_local_contrast.png,images/1145_local_range.png,images/1145_salt_and_pepper.png,images/1145_brightness.png,images/1145_contrast_strech.png
154,30,166,832,499,254.538166,29.46291351,99.42216492,11.40786743,1.783370972,48.46874237,22.74552155,images/1146.jpg,images/1146_acutance.png,images/1146_gaussian.png,images/1146_local_contrast.png,images/1146_local_range.png,images/1146_salt_and_pepper.png,images/1146_brightness.png,images/1146_contrast_strech.png
154,90,166,166,499,254.5277596,33.25281143,87.97241974,13.44634628,2.266712189,47.72906876,15.59421539,images/1147.jpg,images/1147_acutance.png,images/1147_gaussian.png,images/1147_local_contrast.png,images/1147_local_range.png,images/1147_salt_and_pepper.png,images/1147_brightness.png,images/1147_contrast_strech.png
154,90,166,499,499,254.5452347,26.66294479,90.21433258,10.9756546,1.676574707,44.62263489,20.23048782,images/1148.jpg,images/1148_acutance.png,images/1148_gaussian.png,images/1148_local_contrast.png,images/1148_local_range.png,images/1148_salt_and_pepper.png,images/1148_brightness.png,images/1148_contrast_strech.png
154,90,166,832,499,254.5018806,29.74482346,101.2657509,11.32670212,1.690948486,49.86763763,23.5969696,images/1149.jpg,images/1149_acutance.png,images/1149_gaussian.png,images/1149_local_contrast.png,images/1149_local_range.png,images/1149_salt_and_pepper.png,images/1149_brightness.png,images/1149_contrast_strech.png
154,150,166,166,499,254.4968872,39.86806488,79.14164734,15.29044724,2.711257935,49.59993362,11.38362122,images/1150.jpg,images/1150_acutance.png,images/1150_gaussian.png,images/1150_local_contrast.png,images/1150_local_range.png,images/1150_salt_and_pepper.png,images/1150_brightness.png,images/1150_contrast_strech.png
154,150,166,499,499,254.5383568,30.65145874,79.71873856,11.82913208,1.909591675,44.47236633,17.63121033,images/1151.jpg,images/1151_acutance.png,images/1151_gaussian.png,images/1151_local_contrast.png,images/1151_local_range.png,images/1151_salt_and_pepper.png,images/1151_brightness.png,images/1151_contrast_strech.png
154,150,166,832,499,254.5873451,24.26301956,82.92500305,8.673313141,1.16973114,41.59550858,23.3757515,images/1152.jpg,images/1152_acutance.png,images/1152_gaussian.png,images/1152_local_contrast.png,images/1152_local_range.png,images/1152_salt_and_pepper.png,images/1152_brightness.png,images/1152_contrast_strech.png
154,30,166,166,832,254.5561028,31.98577118,96.05789948,11.99008179,1.949195862,49.1822319,22.53059006,images/1153.jpg,images/1153_acutance.png,images/1153_gaussian.png,images/1153_local_contrast.png,images/1153_local_range.png,images/1153_salt_and_pepper.png,images/1153_brightness.png,images/1153_contrast_strech.png
154,30,166,499,832,254.5354691,29.71593475,97.96120834,11.97339249,1.869693756,48.45861053,20.48038483,images/1154.jpg,images/1154_acutance.png,images/1154_gaussian.png,images/1154_local_contrast.png,images/1154_local_range.png,images/1154_salt_and_pepper.png,images/1154_brightness.png,images/1154_contrast_strech.png
154,30,166,832,832,254.5141182,30.15835571,100.2402115,11.92656326,1.83562851,49.38809967,20.90703201,images/1155.jpg,images/1155_acutance.png,images/1155_gaussian.png,images/1155_local_contrast.png,images/1155_local_range.png,images/1155_salt_and_pepper.png,images/1155_brightness.png,images/1155_contrast_strech.png
154,90,166,166,832,254.5327682,45.20426178,99.77889252,11.78784561,1.821052551,58.06166458,11.14672852,images/1156.jpg,images/1156_acutance.png,images/1156_gaussian.png,images/1156_local_contrast.png,images/1156_local_range.png,images/1156_salt_and_pepper.png,images/1156_brightness.png,images/1156_contrast_strech.png
154,90,166,499,832,254.5255814,40.42730713,99.72264099,11.29593277,1.716094971,55.51303864,15.24406052,images/1157.jpg,images/1157_acutance.png,images/1157_gaussian.png,images/1157_local_contrast.png,images/1157_local_range.png,images/1157_salt_and_pepper.png,images/1157_brightness.png,images/1157_contrast_strech.png
154,90,166,832,832,254.5498466,38.79420853,101.624958,10.76557922,1.600971222,55.50085449,18.62602615,images/1158.jpg,images/1158_acutance.png,images/1158_gaussian.png,images/1158_local_contrast.png,images/1158_local_range.png,images/1158_salt_and_pepper.png,images/1158_brightness.png,images/1158_contrast_strech.png
154,150,166,166,832,254.6146851,56.88118744,87.7434845,7.289653778,1.18687439,61.49921036,11.51241302,images/1159.jpg,images/1159_acutance.png,images/1159_gaussian.png,images/1159_local_contrast.png,images/1159_local_range.png,images/1159_salt_and_pepper.png,images/1159_brightness.png,images/1159_contrast_strech.png
154,150,166,499,832,254.6236229,52.12767792,87.890522,7.272281647,1.152679443,59.27106094,11.57301331,images/1160.jpg,images/1160_acutance.png,images/1160_gaussian.png,images/1160_local_contrast.png,images/1160_local_range.png,images/1160_salt_and_pepper.png,images/1160_brightness.png,images/1160_contrast_strech.png
154,150,166,832,832,254.6387444,47.54720688,88.05788422,7.217300415,1.116950989,57.20643234,16.96774292,images/1161.jpg,images/1161_acutance.png,images/1161_gaussian.png,images/1161_local_contrast.png,images/1161_local_range.png,images/1161_salt_and_pepper.png,images/1161_brightness.png,images/1161_contrast_strech.png
154,30,499,166,166,254.5765381,31.16541672,88.23130417,10.40265656,1.705558777,46.22859573,20.76962662,images/1162.jpg,images/1162_acutance.png,images/1162_gaussian.png,images/1162_local_contrast.png,images/1162_local_range.png,images/1162_salt_and_pepper.png,images/1162_brightness.png,images/1162_contrast_strech.png
154,30,499,499,166,254.5425949,29.70969009,93.86416626,11.0595932,1.73229599,47.31321716,18.15595627,images/1163.jpg,images/1163_acutance.png,images/1163_gaussian.png,images/1163_local_contrast.png,images/1163_local_range.png,images/1163_salt_and_pepper.png,images/1163_brightness.png,images/1163_contrast_strech.png
154,30,499,832,166,254.5176353,31.74608612,99.08315659,11.68780136,1.807224274,49.82653046,18.7305336,images/1164.jpg,images/1164_acutance.png,images/1164_gaussian.png,images/1164_local_contrast.png,images/1164_local_range.png,images/1164_salt_and_pepper.png,images/1164_brightness.png,images/1164_contrast_strech.png
154,90,499,166,166,254.5249596,30.61000061,89.14369202,10.59672546,1.646190643,46.23386002,16.24208069,images/1165.jpg,images/1165_acutance.png,images/1165_gaussian.png,images/1165_local_contrast.png,images/1165_local_range.png,images/1165_salt_and_pepper.png,images/1165_brightness.png,images/1165_contrast_strech.png
154,90,499,499,166,254.5115051,29.99721527,94.84052277,10.86486435,1.637355804,47.60074615,19.57076645,images/1166.jpg,images/1166_acutance.png,images/1166_gaussian.png,images/1166_local_contrast.png,images/1166_local_range.png,images/1166_salt_and_pepper.png,images/1166_brightness.png,images/1166_contrast_strech.png
154,90,499,832,166,254.4771004,32.47314835,102.6262207,11.66464615,1.745231628,51.53324127,21.66122055,images/1167.jpg,images/1167_acutance.png,images/1167_gaussian.png,images/1167_local_contrast.png,images/1167_local_range.png,images/1167_salt_and_pepper.png,images/1167_brightness.png,images/1167_contrast_strech.png
154,150,499,166,166,254.5635529,29.50542831,79.74438858,8.750347137,1.311443329,43.36794281,14.99865723,images/1168.jpg,images/1168_acutance.png,images/1168_gaussian.png,images/1168_local_contrast.png,images/1168_local_range.png,images/1168_salt_and_pepper.png,images/1168_brightness.png,images/1168_contrast_strech.png
154,150,499,499,166,254.5604095,24.26570129,80.66156006,8.825218201,1.256092072,40.28713226,21.98962402,images/1169.jpg,images/1169_acutance.png,images/1169_gaussian.png,images/1169_local_contrast.png,images/1169_local_range.png,images/1169_salt_and_pepper.png,images/1169_brightness.png,images/1169_contrast_strech.png
154,150,499,832,166,254.5635681,22.87952042,86.38758469,8.833446503,1.187587738,41.34617615,25.74147797,images/1170.jpg,images/1170_acutance.png,images/1170_gaussian.png,images/1170_local_contrast.png,images/1170_local_range.png,images/1170_salt_and_pepper.png,images/1170_brightness.png,images/1170_contrast_strech.png
154,30,499,166,499,254.5727997,30.80207062,92.66328812,11.1506424,1.815929413,47.38370895,22.78643799,images/1171.jpg,images/1171_acutance.png,images/1171_gaussian.png,images/1171_local_contrast.png,images/1171_local_range.png,images/1171_salt_and_pepper.png,images/1171_brightness.png,images/1171_contrast_strech.png
154,30,499,499,499,254.552948,27.66653824,96.14308167,11.19173813,1.727725983,46.53763199,21.6255188,images/1172.jpg,images/1172_acutance.png,images/1172_gaussian.png,images/1172_local_contrast.png,images/1172_local_range.png,images/1172_salt_and_pepper.png,images/1172_brightness.png,images/1172_contrast_strech.png
154,30,499,832,499,254.5313911,28.10069275,99.52452087,11.33601379,1.727787018,47.95479202,22.27402115,images/1173.jpg,images/1173_acutance.png,images/1173_gaussian.png,images/1173_local_contrast.png,images/1173_local_range.png,images/1173_salt_and_pepper.png,images/1173_brightness.png,images/1173_contrast_strech.png
154,90,499,166,499,254.5196724,31.64622498,94.88920975,12.63581467,2.049156189,48.62943649,19.05783844,images/1174.jpg,images/1174_acutance.png,images/1174_gaussian.png,images/1174_local_contrast.png,images/1174_local_range.png,images/1174_salt_and_pepper.png,images/1174_brightness.png,images/1174_contrast_strech.png
154,90,499,499,499,254.5332527,26.45567322,96.07375336,10.92348862,1.616924286,46.15272141,21.727211,images/1175.jpg,images/1175_acutance.png,images/1175_gaussian.png,images/1175_local_contrast.png,images/1175_local_range.png,images/1175_salt_and_pepper.png,images/1175_brightness.png,images/1175_contrast_strech.png
154,90,499,832,499,254.5055237,28.92943954,102.9052887,11.24608231,1.641098022,49.54245758,23.98458862,images/1176.jpg,images/1176_acutance.png,images/1176_gaussian.png,images/1176_local_contrast.png,images/1176_local_range.png,images/1176_salt_and_pepper.png,images/1176_brightness.png,images/1176_contrast_strech.png
154,150,499,166,499,254.5135193,31.98173141,83.59638214,12.98916245,2.149463654,46.22188187,16.58065796,images/1177.jpg,images/1177_acutance.png,images/1177_gaussian.png,images/1177_local_contrast.png,images/1177_local_range.png,images/1177_salt_and_pepper.png,images/1177_brightness.png,images/1177_contrast_strech.png
154,150,499,499,499,254.5477562,26.53307343,84.12831116,10.78242111,1.635002136,43.36499786,21.65904236,images/1178.jpg,images/1178_acutance.png,images/1178_gaussian.png,images/1178_local_contrast.png,images/1178_local_range.png,images/1178_salt_and_pepper.png,images/1178_brightness.png,images/1178_contrast_strech.png
154,150,499,832,499,254.5873528,23.29146194,86.30499268,8.706623077,1.131401062,41.8837204,24.8835907,images/1179.jpg,images/1179_acutance.png,images/1179_gaussian.png,images/1179_local_contrast.png,images/1179_local_range.png,images/1179_salt_and_pepper.png,images/1179_brightness.png,images/1179_contrast_strech.png
154,30,499,166,832,254.5533485,32.46707535,97.25284576,12.08819962,1.929203033,49.63782883,22.72764206,images/1180.jpg,images/1180_acutance.png,images/1180_gaussian.png,images/1180_local_contrast.png,images/1180_local_range.png,images/1180_salt_and_pepper.png,images/1180_brightness.png,images/1180_contrast_strech.png
154,30,499,499,832,254.5327568,29.05022049,98.74610901,11.99603653,1.831230164,48.15228653,20.10987473,images/1181.jpg,images/1181_acutance.png,images/1181_gaussian.png,images/1181_local_contrast.png,images/1181_local_range.png,images/1181_salt_and_pepper.png,images/1181_brightness.png,images/1181_contrast_strech.png
154,30,499,832,832,254.5176468,29.55665207,100.3425331,11.91631699,1.801879883,48.91838837,20.37477875,images/1182.jpg,images/1182_acutance.png,images/1182_gaussian.png,images/1182_local_contrast.png,images/1182_local_range.png,images/1182_salt_and_pepper.png,images/1182_brightness.png,images/1182_contrast_strech.png
154,90,499,166,832,254.536293,42.94763565,102.2241936,11.63175583,1.754810333,57.21570206,13.14307785,images/1183.jpg,images/1183_acutance.png,images/1183_gaussian.png,images/1183_local_contrast.png,images/1183_local_range.png,images/1183_salt_and_pepper.png,images/1183_brightness.png,images/1183_contrast_strech.png
154,90,499,499,832,254.5256691,38.61271667,102.1238289,11.15690231,1.653839111,55.3509407,17.03193283,images/1184.jpg,images/1184_acutance.png,images/1184_gaussian.png,images/1184_local_contrast.png,images/1184_local_range.png,images/1184_salt_and_pepper.png,images/1184_brightness.png,images/1184_contrast_strech.png
154,90,499,832,832,254.5451202,38.39632034,103.2317314,10.75507736,1.572574615,55.58660126,18.69294357,images/1185.jpg,images/1185_acutance.png,images/1185_gaussian.png,images/1185_local_contrast.png,images/1185_local_range.png,images/1185_salt_and_pepper.png,images/1185_brightness.png,images/1185_contrast_strech.png
154,150,499,166,832,254.628479,53.21321869,89.26105881,7.119026184,1.12859726,59.85733414,11.46343231,images/1186.jpg,images/1186_acutance.png,images/1186_gaussian.png,images/1186_local_contrast.png,images/1186_local_range.png,images/1186_salt_and_pepper.png,images/1186_brightness.png,images/1186_contrast_strech.png
154,150,499,499,832,254.6344948,49.61960983,89.39694595,7.087043762,1.092132568,58.4444046,16.26987076,images/1187.jpg,images/1187_acutance.png,images/1187_gaussian.png,images/1187_local_contrast.png,images/1187_local_range.png,images/1187_salt_and_pepper.png,images/1187_brightness.png,images/1187_contrast_strech.png
154,150,499,832,832,254.6461411,46.89202499,89.57416153,7.04725647,1.060501099,57.14849472,17.2088623,images/1188.jpg,images/1188_acutance.png,images/1188_gaussian.png,images/1188_local_contrast.png,images/1188_local_range.png,images/1188_salt_and_pepper.png,images/1188_brightness.png,images/1188_contrast_strech.png
154,30,832,166,166,254.5593948,34.4733963,93.67669678,10.91297531,1.788414001,50.03940201,20.54368973,images/1189.jpg,images/1189_acutance.png,images/1189_gaussian.png,images/1189_local_contrast.png,images/1189_local_range.png,images/1189_salt_and_pepper.png,images/1189_brightness.png,images/1189_contrast_strech.png
154,30,832,499,166,254.550293,29.29104233,94.6375351,11.17035675,1.719875336,47.25152206,19.11110306,images/1190.jpg,images/1190_acutance.png,images/1190_gaussian.png,images/1190_local_contrast.png,images/1190_local_range.png,images/1190_salt_and_pepper.png,images/1190_brightness.png,images/1190_contrast_strech.png
154,30,832,832,166,254.5230255,30.66578293,99.22307587,11.82929611,1.820892334,49.48730087,19.59063339,images/1191.jpg,images/1191_acutance.png,images/1191_gaussian.png,images/1191_local_contrast.png,images/1191_local_range.png,images/1191_salt_and_pepper.png,images/1191_brightness.png,images/1191_contrast_strech.png
154,90,832,166,166,254.4984055,32.00590134,100.3365211,10.59375381,1.572345734,50.31075287,20.26377869,images/1192.jpg,images/1192_acutance.png,images/1192_gaussian.png,images/1192_local_contrast.png,images/1192_local_range.png,images/1192_salt_and_pepper.png,images/1192_brightness.png,images/1192_contrast_strech.png
154,90,832,499,166,254.4940567,29.7005806,101.1713905,10.96577835,1.603012085,49.41730881,21.37165451,images/1193.jpg,images/1193_acutance.png,images/1193_gaussian.png,images/1193_local_contrast.png,images/1193_local_range.png,images/1193_salt_and_pepper.png,images/1193_brightness.png,images/1193_contrast_strech.png
154,90,832,832,166,254.479908,31.19667053,104.3991737,11.76184845,1.736568451,51.43901825,22.70925903,images/1194.jpg,images/1194_acutance.png,images/1194_gaussian.png,images/1194_local_contrast.png,images/1194_local_range.png,images/1194_salt_and_pepper.png,images/1194_brightness.png,images/1194_contrast_strech.png
154,150,832,166,166,254.5314484,22.61262512,86.55353165,8.807106018,1.206127167,41.10025406,25.17747879,images/1195.jpg,images/1195_acutance.png,images/1195_gaussian.png,images/1195_local_contrast.png,images/1195_local_range.png,images/1195_salt_and_pepper.png,images/1195_brightness.png,images/1195_contrast_strech.png
154,150,832,499,166,254.5488129,21.44263458,87.53149796,8.591884613,1.131732941,40.70013428,26.23567581,images/1196.jpg,images/1196_acutance.png,images/1196_gaussian.png,images/1196_local_contrast.png,images/1196_local_range.png,images/1196_salt_and_pepper.png,images/1196_brightness.png,images/1196_contrast_strech.png
154,150,832,832,166,254.5633621,21.81210327,90.04987717,8.571430206,1.095943451,41.60856628,27.39226151,images/1197.jpg,images/1197_acutance.png,images/1197_gaussian.png,images/1197_local_contrast.png,images/1197_local_range.png,images/1197_salt_and_pepper.png,images/1197_brightness.png,images/1197_contrast_strech.png
154,30,832,166,499,254.5747604,32.84653854,96.16236115,11.34406662,1.829357147,49.84300232,23.42325592,images/1198.jpg,images/1198_acutance.png,images/1198_gaussian.png,images/1198_local_contrast.png,images/1198_local_range.png,images/1198_salt_and_pepper.png,images/1198_brightness.png,images/1198_contrast_strech.png
154,30,832,499,499,254.5671005,27.16742706,96.89514923,11.25567245,1.706550598,46.37458038,23.04244232,images/1199.jpg,images/1199_acutance.png,images/1199_gaussian.png,images/1199_local_contrast.png,images/1199_local_range.png,images/1199_salt_and_pepper.png,images/1199_brightness.png,images/1199_contrast_strech.png
154,30,832,832,499,254.5392265,27.45394897,99.61022949,11.46476746,1.737617493,47.44561386,23.14509201,images/1200.jpg,images/1200_acutance.png,images/1200_gaussian.png,images/1200_local_contrast.png,images/1200_local_range.png,images/1200_salt_and_pepper.png,images/1200_brightness.png,images/1200_contrast_strech.png
154,90,832,166,499,254.5174408,29.46372604,102.2207298,11.57844925,1.741790771,49.57684326,23.18352127,images/1201.jpg,images/1201_acutance.png,images/1201_gaussian.png,images/1201_local_contrast.png,images/1201_local_range.png,images/1201_salt_and_pepper.png,images/1201_brightness.png,images/1201_contrast_strech.png
154,90,832,499,499,254.516674,26.62223053,102.3791504,10.98123169,1.572910309,47.81904221,23.89626694,images/1202.jpg,images/1202_acutance.png,images/1202_gaussian.png,images/1202_local_contrast.png,images/1202_local_range.png,images/1202_salt_and_pepper.png,images/1202_brightness.png,images/1202_contrast_strech.png
154,90,832,832,499,254.5091324,27.48245239,104.6860695,11.29308701,1.621299744,49.30447388,25.33830643,images/1203.jpg,images/1203_acutance.png,images/1203_gaussian.png,images/1203_local_contrast.png,images/1203_local_range.png,images/1203_salt_and_pepper.png,images/1203_brightness.png,images/1203_contrast_strech.png
154,150,832,166,499,254.5355263,23.76235199,88.24588394,10.33884811,1.498374939,42.72598267,24.56217957,images/1204.jpg,images/1204_acutance.png,images/1204_gaussian.png,images/1204_local_contrast.png,images/1204_local_range.png,images/1204_salt_and_pepper.png,images/1204_brightness.png,images/1204_contrast_strech.png
154,150,832,499,499,254.5621986,22.83708572,88.82696533,9.234672546,1.232494354,42.21455765,25.44786072,images/1205.jpg,images/1205_acutance.png,images/1205_gaussian.png,images/1205_local_contrast.png,images/1205_local_range.png,images/1205_salt_and_pepper.png,images/1205_brightness.png,images/1205_contrast_strech.png
154,150,832,832,499,254.5885887,22.10707092,89.96605301,8.403717041,1.027797699,42.13959503,26.33749008,images/1206.jpg,images/1206_acutance.png,images/1206_gaussian.png,images/1206_local_contrast.png,images/1206_local_range.png,images/1206_salt_and_pepper.png,images/1206_brightness.png,images/1206_contrast_strech.png
154,30,832,166,832,254.5620422,33.18243027,99.21094513,12.13900375,1.907295227,50.6855278,23.39344025,images/1207.jpg,images/1207_acutance.png,images/1207_gaussian.png,images/1207_local_contrast.png,images/1207_local_range.png,images/1207_salt_and_pepper.png,images/1207_brightness.png,images/1207_contrast_strech.png
154,30,832,499,832,254.541172,28.56039047,99.51112366,12.09127808,1.814537048,48.03014374,21.42575836,images/1208.jpg,images/1208_acutance.png,images/1208_gaussian.png,images/1208_local_contrast.png,images/1208_local_range.png,images/1208_salt_and_pepper.png,images/1208_brightness.png,images/1208_contrast_strech.png
154,30,832,832,832,254.5232124,28.34876251,100.4534302,12.04308701,1.811576843,48.46837997,21.33200073,images/1209.jpg,images/1209_acutance.png,images/1209_gaussian.png,images/1209_local_contrast.png,images/1209_local_range.png,images/1209_salt_and_pepper.png,images/1209_brightness.png,images/1209_contrast_strech.png
154,90,832,166,832,254.5417137,39.82078171,104.7293358,11.55310822,1.70218277,56.35506821,18.04595566,images/1210.jpg,images/1210_acutance.png,images/1210_gaussian.png,images/1210_local_contrast.png,images/1210_local_range.png,images/1210_salt_and_pepper.png,images/1210_brightness.png,images/1210_contrast_strech.png
154,90,832,499,832,254.5362053,37.21907806,104.6444893,11.04539108,1.59777832,55.18107224,18.25174713,images/1211.jpg,images/1211_acutance.png,images/1211_gaussian.png,images/1211_local_contrast.png,images/1211_local_range.png,images/1211_salt_and_pepper.png,images/1211_brightness.png,images/1211_contrast_strech.png
154,90,832,832,832,254.5535698,37.91288376,105.0230217,10.75394821,1.550136566,55.69498444,18.91625214,images/1212.jpg,images/1212_acutance.png,images/1212_gaussian.png,images/1212_local_contrast.png,images/1212_local_range.png,images/1212_salt_and_pepper.png,images/1212_brightness.png,images/1212_contrast_strech.png
154,150,832,166,832,254.6416283,48.60905457,90.93383408,6.936786652,1.048820496,58.17460632,16.92093277,images/1213.jpg,images/1213_acutance.png,images/1213_gaussian.png,images/1213_local_contrast.png,images/1213_local_range.png,images/1213_salt_and_pepper.png,images/1213_brightness.png,images/1213_contrast_strech.png
