run,delay time [ns],Pressure,Free surface velocity,particle velocity,label,AB integrated waveprofile,AB filtered integrated waveprofile,EF integrated waveprofile,EF filtered integrated waveprofile,FILE
344,7.5,-1,2200,1100,30.2,11.386,11.386,-0.139,0,111.png
345,7.5,9.25,725,362.5,8.7,-0.399,0,8.473,8.473,112.png
346,8,-1,2100,1050,28.6,11.376,11.376,-0.027,0,113.png
347,8,8.7,800,400,9.6,-0.009,0,9.243,9.243,114.png
350,9.5,21.9,2050,1025,27.8,10.65,10.65,-0.434,0,115.png
351,9,13.4,1050,525,13,0.387,0,12.303,12.303,116.png
352,10.5,27,1825,912.5,24.2,10.18,10.18,-0.263,0,117.png
353,9.5,13.7,1050,525,13,-0.244,0,12.323,12.323,118.png
354,11.5,31.2,2400,1200,33.5,12.521,12.521,0.003,0,119.png
355,10,9.8,900,450,10.9,-0.187,0,8.852,8.852,120.png
356,12.5,26.7,1725,862.5,22.7,8.29,8.29,-0.158,0,121.png
357,12.5,9.4,900,450,10.9,-0.385,0,10.603,10.603,122.png
359,15,12.3,925,462.5,11.3,-0.202,0,10.148,10.148,123.png
360,25,28.9,1825,912.5,24.2,8.735,8.735,-0.127,0,124.png
361,20,-1,850,425,10.3,-0.373,0,9.149,9.149,125.png
362,5.5,-1,2300,1150,31.9,12.395,12.395,-0.243,0,126.png
363,9,-1,675,337.5,8,-0.202,0,5.865,5.865,127.png
364,5,-1,2150,1075,29.4,11.389,11.389,-0.244,0,128.png
365,6,-1,900,450,10.9,-0.514,0,9.017,9.017,129.png
366,4.5,-1,2050,1025,27.8,12.461,12.461,-0.167,0,130.png
502,5,-1,1450,725,18.6,6.933,6.933,-0.026,0,131.png
503,6,-1,425,212.5,4.9,0.098,0,2.788,2.788,132.png
504,9,-1,1550,775,20.1,10.237,10.237,0.236,0,133.png
505,11,-1,350,175,4,-0.005,0,3.607,3.607,134.png
506,10,-1,1100,550,13.6,8.448,8.448,0.07,0,135.png
507,12.5,-1,475,237.5,5.5,0.143,0,3.398,3.398,136.png
508,11,-1,1200,600,15,9.389,9.389,0.033,0,137.png
511,14,-1,450,225,5.2,0.059,0,3.234,3.234,138.png
512,14,-1,2000,1000,27,9.557,9.557,-0.027,0,139.png
513,15,-1,525,262.5,6.1,-0.019,0,3.401,3.401,140.png
514,15,-1,1700,850,22.3,9.381,9.381,-0.116,0,141.png
515,25,-1,575,287.5,6.8,-0.411,0,4.066,4.066,142.png
516,25,-1,1700,850,22.3,9.224,9.224,-0.403,0,143.png
517,45,-1,825,412.5,10,0.614,0,0,0,144.png
518,45,-1,2075,1037.5,28.2,11.845,11.845,0,0,145.png
519,12.5,-1,450,225,5.2,0.003,0,2.992,2.992,146.png
520,13,-1,1900,950,25.4,10.888,10.888,0.176,0,147.png
